titre;année;description;réalisateur;genre
HEAT;1995;"La bande de Neil McCauley à laquelle est venu se greffer Waingro, une nouvelle recrue, attaque un fourgon blindé pour s'emparer d'une somme importante en obligations. Cependant, ce dernier tue froidement l'un des convoyeurs et Chris Shiherlis se retrouve obligé de ""terminer le travail"". Neil tente d'éliminer Waingro, mais celui-ci parvient à s'échapper. Parallèlement, le lieutenant Vincent Hanna mène l'enquête...";Michael Mann;policier, drame, action
WEST SIDE STORY;1962;Dans le West Side, bas quartier de New York, deux bandes de jeunes s'affrontent, les Sharks de Bernardo et les Jets de Riff. Un ex des Jets, Tony, s'éprend de Maria, la soeur de Bernardo. ;Robert Wise, Jerome Robbins ;Comédie musicale
ROCK ACADEMY;2004;"Un musicien se fait virer de son groupe de rock et trouve, dans la foulée, un emploi de prof de musique dans une école privée stricte. Là, devant un parterre de tubas, de clairons, de pianos et de harpes, il décide de revoir l'approche de la musique de ses élèves. Leur filant des Gibson en V, des claviers, des caisses claires et des charleys, il leur enseigne la musique des amplis. Le gros son des rockers. Et "" leur donne le pouvoir de casser les règles "".";Richard Linklater ;Comédie musicale
